DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
31-08-2025,Brighton,Manchester City,2,1,2.29,1.82,36%,64%,12,12,7,3,3,3,3,2,75%,87%,3.07,1.10,2,8,3,1,10,8,2,4,0,0,22,24,1,3,1,0,13,15,29%,45%,50%,81%,38%,20%,0.70,1.46,12,16,16,14,76%,47%,47,58,10,15,8,9,1,0,0,0,1.10,3.07,0.10,1.07
31-08-2025,Nottingham,West Ham,0,3,0.73,2.42,58%,42%,11,12,3,8,1,4,9,7,87%,82%,0.29,3.29,3,4,5,0,9,10,2,2,0,0,29,18,0,0,0,0,6,13,38%,30%,77%,65%,11%,39%,0.76,0.47,17,12,14,6,74%,56%,43,47,16,32,6,6,0,0,0,0,3.29,0.29,0.29,0.29
30-08-2025,Leeds,Newcastle,0,0,0.69,0.46,43%,57%,10,8,1,2,1,0,5,5,79%,85%,0.09,0.13,6,3,3,3,4,4,6,4,0,0,19,13,0,0,1,0,15,10,28%,47%,66%,74%,24%,10%,0.34,0.32,15,24,10,15,78%,40%,47,37,18,6,13,8,0,1,0,0,0.13,0.09,0.13,0.09
30-08-2025,Manchester Utd,Burnley,3,2,3.63,1.20,62%,38%,26,6,6,3,4,2,7,1,82%,71%,2.18,1.66,13,1,7,2,19,5,7,1,2,0,38,18,1,1,1,1,8,9,58%,36%,77%,49%,50%,11%,1.85,0.51,21,13,9,9,56%,70%,50,53,17,39,3,9,0,0,0,0,1.66,2.18,-0.34,0.18
30-08-2025,Sunderland,Brentford,2,1,1.54,1.19,54%,46%,12,7,3,4,2,2,3,4,81%,80%,1.08,1.45,6,2,3,1,9,5,3,2,0,0,16,14,0,1,1,3,10,10,45%,37%,61%,59%,17%,38%,0.41,0.81,22,16,11,12,50%,78%,65,49,34,34,7,4,0,0,0,0,1.45,1.08,0.45,-0.92
30-08-2025,Tottenham,Bournemouth,0,1,0.19,1.59,61%,39%,5,20,1,6,0,3,0,8,83%,70%,0.22,1.48,3,9,1,5,3,15,2,5,0,1,18,29,1,1,2,3,13,17,37%,33%,56%,56%,25%,28%,0.27,0.80,25,15,17,13,50%,46%,56,69,33,31,4,9,1,0,0,0,1.48,0.22,0.48,0.22
30-08-2025,Wolves,Everton,2,3,1.11,1.93,58%,42%,12,10,4,4,2,3,2,2,80%,74%,1.15,2.58,3,2,5,4,6,7,6,3,0,0,22,23,0,4,2,1,9,15,36%,36%,58%,64%,50%,15%,0.48,1.44,30,23,15,10,57%,69%,47,63,19,28,10,16,2,1,0,1,2.58,1.15,-0.42,-0.85
30-08-2025,Chelsea,Fulham,2,0,2.35,1.02,54%,46%,13,11,6,3,3,1,6,4,87%,81%,3.18,0.10,1,6,6,2,10,8,3,3,0,0,27,20,1,1,3,1,16,11,36%,40%,78%,68%,31%,33%,0.84,0.47,18,20,11,17,47%,41%,60,56,20,20,18,6,1,1,0,0,0.10,3.18,-0.90,1.18
25-08-2025,Newcastle,Liverpool,2,3,0.98,0.69,38%,62%,10,5,3,4,4,2,7,1,69%,83%,1.87,2.26,4,0,3,1,8,3,2,2,0,0,27,17,0,0,0,0,15,16,24%,31%,50%,70%,24%,22%,0.88,0.52,22,19,17,15,42%,62%,51,51,21,43,8,0,1,1,0,1,2.26,1.87,-0.74,-0.13
24-08-2025,Fulham,Manchester Utd,1,1,1.76,1.62,52%,48%,13,10,4,3,3,3,9,6,84%,83%,1.38,0.55,4,6,5,1,10,8,3,2,0,1,38,25,2,0,2,1,9,11,49%,39%,82%,74%,30%,29%,2.08,0.74,21,17,12,10,80%,65%,41,53,24,27,8,5,0,0,0,1,0.55,1.38,0.55,0.38
