DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
31-08-2025,Zwolle,Utrecht,0,2,1.01,1.14,48%,52%,6,14,2,7,3,2,3,2,81%,79%,0.27,2.47,3,5,1,2,4,6,2,8,0,1,20,15,0,0,3,1,10,13,48%,43%,63%,62%,11%,33%,0.71,0.57,20,15,13,10,60%,55%,44,50,20,17,14,13,0,2,0,0,2.47,0.27,0.47,0.27
31-08-2025,Sittard,Nijmegen,3,2,1.33,1.90,38%,62%,10,14,5,5,2,4,3,4,62%,79%,2.10,2.30,3,3,2,6,7,10,3,4,0,0,17,42,0,2,3,1,6,16,33%,34%,54%,70%,40%,12%,0.49,2.58,15,28,16,8,74%,67%,50,63,56,25,11,7,1,1,0,0,2.30,2.10,0.30,-0.90
30-08-2025,Excelsior,Twente,1,0,0.36,2.52,30%,70%,8,27,3,8,1,4,1,4,63%,87%,0.69,1.67,3,7,2,12,3,17,5,10,1,0,12,57,0,1,1,4,11,13,32%,67%,51%,87%,29%,29%,0.23,2.59,21,26,13,11,67%,58%,55,57,38,20,5,6,0,0,0,0,1.67,0.69,1.67,-0.31
30-08-2025,PSV,Telstar,0,2,1.73,1.47,71%,29%,23,9,5,4,4,2,10,3,89%,76%,1.66,1.82,9,4,9,1,14,7,9,2,0,0,52,16,0,0,1,3,11,10,61%,41%,86%,62%,20%,36%,2.10,0.63,23,13,10,11,46%,52%,47,47,8,51,2,6,0,0,0,0,1.82,1.66,-0.18,1.66
30-08-2025,Heerenveen,G.A. Eagles,2,2,2.73,1.19,56%,44%,19,11,5,5,4,2,3,7,82%,78%,2.79,1.69,6,2,8,4,11,9,8,2,0,1,40,24,0,1,0,0,11,9,39%,43%,74%,65%,12%,17%,1.87,0.61,21,27,9,12,73%,42%,57,47,35,32,4,6,0,0,0,0,1.69,2.79,-0.31,0.79
30-08-2025,FC Volendam,Ajax,1,1,0.77,1.39,31%,69%,11,13,4,4,1,2,2,7,77%,89%,0.91,0.85,4,8,3,1,2,9,9,4,0,0,14,31,1,1,1,2,15,11,38%,67%,59%,82%,15%,21%,0.57,1.17,10,15,12,15,68%,60%,46,36,32,23,11,10,0,1,0,0,0.85,0.91,-0.15,-0.09
29-08-2025,Groningen,Heracles,4,0,1.79,0.46,50%,50%,17,8,5,0,2,0,6,3,78%,72%,2.58,0.00,4,7,8,1,11,4,6,4,2,0,28,11,0,0,2,0,9,12,36%,41%,69%,49%,17%,29%,1.17,0.55,17,24,13,12,69%,63%,49,68,29,33,7,5,1,1,0,0,0.00,2.58,0.00,-1.43
24-08-2025,Ajax,Heracles,2,0,2.66,0.16,66%,34%,27,4,10,0,3,0,10,1,90%,76%,2.79,0.00,6,2,11,2,23,3,4,1,0,0,55,9,0,0,4,1,15,7,51%,38%,85%,51%,32%,17%,3.52,0.22,19,16,10,15,58%,62%,47,29,20,22,10,8,0,1,0,1,0.00,2.79,0.00,0.79
24-08-2025,Nijmegen,Breda,3,0,4.20,0.45,51%,49%,18,7,10,2,9,0,3,1,79%,76%,2.94,0.09,6,4,2,1,13,4,5,3,0,0,36,18,1,0,0,3,18,15,36%,58%,66%,64%,42%,10%,4.57,0.55,17,19,16,18,53%,53%,59,51,16,25,7,6,0,1,0,0,0.09,2.94,0.09,-0.06
24-08-2025,Utrecht,Excelsior,4,1,1.78,1.32,50%,50%,16,12,10,4,3,1,7,5,82%,82%,2.81,0.67,2,5,4,3,12,6,4,6,0,1,21,19,3,0,1,1,12,6,47%,40%,64%,66%,38%,24%,1.34,0.40,22,14,6,15,54%,62%,45,38,25,16,3,11,0,1,1,0,0.67,2.81,-0.33,-1.19
