DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
25-08-2025,Palmeiras,Sport Recife,3,0,3.17,0.31,46%,54%,22,10,8,1,6,0,6,3,84%,85%,3.41,0.01,11,5,3,4,17,3,5,7,0,0,33,11,0,0,1,1,12,14,59%,49%,76%,64%,67%,20%,1.95,0.43,14,17,14,12,62%,65%,51,48,21,17,2,12,0,0,0,0,0.01,3.41,0.01,0.41
25-08-2025,Sao Paulo,Atletico-MG,2,0,1.70,0.10,51%,49%,10,5,5,1,2,0,5,1,86%,86%,2.00,0.00,4,2,1,2,8,1,2,4,0,1,27,5,0,0,0,2,14,17,38%,58%,75%,73%,38%,10%,1.34,0.21,19,18,20,17,77%,52%,60,58,16,20,9,11,1,1,0,0,0.00,2.00,0.00,0.00
24-08-2025,Fortaleza,Mirassol,0,1,1.63,0.82,49%,51%,14,7,6,4,2,2,11,3,82%,83%,2.55,1.24,3,1,5,2,9,4,5,3,0,0,38,16,0,0,2,1,13,14,52%,48%,77%,68%,13%,25%,0.98,0.66,19,20,15,13,60%,75%,61,52,21,47,8,8,0,0,0,0,1.24,2.55,0.24,2.55
24-08-2025,Juventude,Botafogo RJ,1,3,0.95,1.79,50%,50%,16,13,6,6,0,2,5,3,88%,87%,0.98,2.62,6,5,4,2,10,7,6,6,1,0,25,24,0,0,2,0,17,10,66%,52%,80%,77%,29%,14%,1.27,0.92,9,8,10,17,69%,47%,61,53,19,28,5,9,1,1,0,0,2.62,0.98,-0.38,-0.02
24-08-2025,Bahia,Santos,2,0,0.65,0.37,54%,46%,12,8,4,3,1,0,3,0,84%,84%,0.79,0.62,4,2,4,3,8,2,4,6,0,0,22,10,0,0,1,1,15,12,54%,47%,76%,77%,25%,20%,0.50,0.34,20,20,12,17,60%,57%,49,49,18,22,10,17,1,1,0,0,0.62,0.79,0.62,-1.21
24-08-2025,Vasco,Corinthians,2,3,1.53,2.08,62%,38%,12,14,3,7,3,3,3,5,89%,77%,1.24,3.35,5,6,4,1,7,7,5,7,2,0,13,14,0,0,1,2,17,15,50%,49%,65%,61%,15%,30%,0.46,1.16,22,17,16,20,31%,64%,56,53,28,20,7,7,0,1,0,0,3.35,1.24,0.35,-0.76
24-08-2025,Gremio,Ceara,0,0,1.86,1.74,62%,38%,13,15,5,4,3,2,4,1,83%,72%,1.16,1.92,5,7,3,4,8,9,5,6,1,0,25,15,0,1,2,0,12,13,42%,38%,67%,43%,23%,43%,1.20,0.62,28,19,14,12,92%,75%,48,59,13,28,5,7,0,2,0,0,1.92,1.16,1.92,1.16
23-08-2025,Cruzeiro,Internacional,2,1,1.14,0.21,45%,55%,15,4,7,3,2,0,5,1,81%,83%,2.07,0.67,5,1,3,0,8,3,7,1,0,0,16,12,1,0,0,3,17,10,56%,55%,71%,79%,15%,9%,0.60,0.28,23,30,10,18,74%,67%,64,39,20,29,12,7,0,0,0,0,0.67,2.07,-0.33,0.07
23-08-2025,RB Bragantino,Fluminense,4,2,1.56,1.03,36%,64%,8,21,5,7,5,1,2,11,80%,88%,2.01,0.79,2,7,1,7,6,13,2,8,0,0,15,39,0,1,0,1,9,17,41%,55%,61%,78%,44%,24%,0.48,1.03,15,22,18,9,67%,83%,42,52,39,10,9,2,1,1,0,1,0.79,2.01,-1.21,-1.99
20-08-2025,Juventude,Vasco,2,0,1.27,0.54,23%,77%,10,14,5,2,3,1,1,5,79%,94%,1.11,0.23,3,8,2,4,6,5,4,9,0,0,12,13,1,0,3,0,10,9,39%,81%,58%,87%,14%,7%,0.35,0.50,13,23,9,11,72%,64%,41,35,39,9,12,6,0,3,0,0,0.23,1.11,0.23,-0.89
19-08-2025,Mirassol,Cruzeiro,1,1,1.37,1.08,47%,53%,21,8,3,3,2,1,7,2,79%,80%,0.48,0.97,12,3,6,2,11,4,10,4,1,0,24,10,0,0,2,2,13,15,40%,46%,74%,68%,23%,27%,1.54,0.31,30,21,16,13,75%,74%,51,59,20,33,9,9,0,1,1,0,0.97,0.48,-0.03,-0.52
18-08-2025,Botafogo RJ,Palmeiras,0,1,1.63,1.34,59%,41%,15,9,6,2,2,2,4,3,90%,83%,1.16,1.24,4,5,5,2,7,5,8,4,0,0,23,14,0,0,2,3,6,6,58%,44%,77%,51%,20%,38%,1.13,0.53,19,9,7,6,74%,62%,55,56,12,18,7,11,0,0,0,0,1.24,1.16,0.24,1.16
17-08-2025,Internacional,Flamengo,1,3,1.62,1.51,42%,58%,14,16,6,3,2,1,10,5,83%,88%,1.63,2.39,5,6,3,7,6,11,8,5,1,1,19,25,1,1,1,3,7,11,57%,57%,70%,74%,17%,40%,0.54,1.14,28,12,12,8,39%,56%,44,60,19,27,11,6,0,1,0,0,2.39,1.63,-0.61,0.63
17-08-2025,Atletico-MG,Gremio,1,3,0.23,1.05,63%,37%,10,8,3,4,0,3,4,4,87%,80%,0.41,2.03,5,3,2,1,4,4,6,4,0,0,18,10,0,1,1,0,12,18,53%,34%,81%,59%,24%,10%,0.65,0.82,19,13,19,12,53%,48%,46,56,13,32,7,11,0,0,1,0,2.03,0.41,-0.97,-0.59
17-08-2025,Santos,Vasco,0,6,0.62,1.99,41%,59%,7,14,2,9,0,5,3,3,81%,89%,0.07,4.03,3,1,2,4,5,8,2,6,1,1,16,18,1,2,4,2,12,10,31%,50%,67%,77%,18%,25%,0.85,1.46,18,19,11,12,69%,67%,33,36,12,12,7,9,0,0,1,0,4.03,0.07,-1.97,0.07
17-08-2025,Corinthians,Bahia,1,2,2.60,1.07,66%,34%,24,7,8,5,5,1,9,1,89%,75%,3.09,1.27,12,1,4,1,14,3,10,4,0,0,38,8,0,0,6,1,20,12,83%,37%,80%,50%,23%,0%,1.96,0.15,26,9,15,21,73%,48%,73,67,11,53,6,11,1,0,0,0,1.27,3.09,-0.73,2.09
16-08-2025,Sport Recife,Sao Paulo,2,2,0.72,1.60,34%,66%,8,18,5,8,2,3,4,11,69%,85%,1.30,1.33,3,5,0,5,7,10,1,8,1,1,19,25,0,0,0,1,18,14,42%,50%,54%,73%,50%,28%,0.83,0.89,17,16,17,19,87%,100%,53,47,37,16,9,7,0,0,0,1,1.33,1.30,-0.67,-0.70
16-08-2025,Vitoria,Juventude,2,2,2.39,1.88,51%,49%,18,13,4,4,2,3,4,6,87%,85%,2.20,2.01,7,4,7,5,7,11,11,2,0,0,16,21,1,0,2,3,14,8,51%,59%,75%,79%,33%,27%,1.53,0.44,18,16,9,14,75%,75%,39,34,25,24,12,9,0,1,0,1,2.01,2.20,0.01,0.20
16-08-2025,Ceara,RB Bragantino,1,0,0.64,0.21,43%,57%,10,9,4,2,1,0,3,4,80%,87%,1.12,0.18,4,6,2,1,6,3,4,6,0,0,13,10,0,0,2,1,15,23,50%,58%,59%,66%,14%,10%,0.46,0.38,13,15,23,16,57%,50%,41,49,18,18,5,6,0,0,0,0,0.18,1.12,0.18,0.12
16-08-2025,Fluminense,Fortaleza,2,1,0.92,1.95,43%,57%,10,12,3,5,2,3,2,6,81%,86%,1.73,2.45,4,3,3,4,7,8,3,4,0,0,23,27,0,1,0,1,17,8,50%,58%,66%,73%,22%,26%,0.77,1.41,15,23,10,18,85%,67%,46,37,24,12,7,8,0,2,0,0,2.45,1.73,1.45,-0.27
12-08-2025,Juventude,Corinthians,2,1,1.79,0.66,37%,63%,12,11,4,3,3,1,3,2,81%,89%,2.29,0.48,5,6,3,2,9,7,3,4,0,0,19,22,1,1,1,1,10,21,45%,72%,72%,69%,25%,32%,1.63,1.02,19,19,22,12,69%,63%,39,59,21,15,10,6,1,2,0,0,0.48,2.29,-0.52,0.29
11-08-2025,Gremio,Sport Recife,0,1,1.38,1.52,59%,41%,15,11,6,3,3,3,3,2,86%,76%,2.23,1.05,8,8,1,0,10,9,4,2,0,0,18,26,0,1,1,2,17,10,62%,37%,62%,62%,35%,14%,0.68,0.97,19,23,10,19,85%,62%,58,47,42,28,12,16,0,0,0,0,1.05,2.23,0.05,2.23
10-08-2025,Cruzeiro,Santos,1,2,2.40,1.73,57%,43%,19,9,4,2,7,4,15,3,80%,80%,1.72,1.79,10,5,5,2,13,6,6,3,0,0,46,16,0,1,2,3,10,17,55%,50%,71%,65%,39%,44%,2.58,1.36,24,17,17,12,82%,47%,42,50,13,38,5,8,1,0,0,1,1.79,1.72,-0.21,0.72
