DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
31-08-2025,Wolfsburg,Mainz,1,1,0.61,1.95,40%,60%,11,17,3,3,1,4,3,10,72%,84%,0.35,1.08,5,8,3,6,7,14,4,3,0,2,12,41,0,1,0,0,14,13,36%,50%,56%,75%,10%,23%,0.27,1.44,27,25,15,14,54%,62%,53,54,54,22,12,13,1,0,0,0,1.08,0.35,0.08,-0.65
30-08-2025,Augsburg,Bayern,2,3,0.51,4.23,42%,58%,10,20,3,10,0,9,7,5,79%,84%,1.29,4.61,6,5,1,5,7,16,3,4,0,0,21,37,0,6,4,3,10,12,34%,52%,58%,71%,22%,25%,0.59,2.61,21,22,14,11,62%,64%,51,45,31,24,11,10,2,0,1,1,4.61,1.29,1.61,-0.71
30-08-2025,Bremen,Leverkusen,3,3,2.59,2.11,45%,55%,12,10,5,4,5,4,3,7,84%,89%,2.78,2.11,7,3,0,3,8,7,4,3,1,1,23,20,0,0,1,1,10,11,49%,56%,71%,80%,22%,12%,1.45,1.24,17,16,11,10,82%,67%,44,40,24,19,5,7,1,1,1,1,2.11,2.78,-0.89,-0.22
30-08-2025,Hoffenheim,Frankfurt,1,3,1.37,1.56,58%,42%,17,9,5,6,2,3,4,5,83%,76%,1.15,2.65,10,1,2,2,11,5,6,4,0,0,28,16,0,2,3,1,9,13,48%,45%,67%,59%,34%,7%,0.93,1.39,25,24,14,10,69%,80%,45,43,25,37,5,9,0,0,0,0,2.65,1.15,-0.35,0.15
30-08-2025,RB Leipzig,Heidenheim,2,0,2.22,1.01,66%,34%,19,5,5,3,5,2,4,3,87%,72%,1.81,0.53,10,1,4,1,16,5,3,1,1,0,36,12,0,1,1,2,13,7,50%,34%,72%,48%,30%,15%,2.12,0.82,20,15,7,13,82%,56%,62,36,25,20,8,7,0,1,0,0,0.53,1.81,0.53,-0.19
30-08-2025,Stuttgart,Monchengladbach,1,0,0.84,1.82,51%,49%,13,15,5,6,1,2,6,10,88%,85%,1.26,1.62,3,7,5,2,9,14,4,1,0,0,27,33,1,0,2,4,13,5,50%,61%,78%,78%,26%,19%,0.94,1.45,13,21,5,13,71%,60%,40,42,23,25,8,9,0,0,0,0,1.62,1.26,1.62,0.26
29-08-2025,Hamburger SV,St. Pauli,0,2,0.35,1.44,48%,52%,5,17,2,6,2,2,2,5,82%,81%,0.17,1.38,2,5,1,6,2,11,3,6,0,0,11,24,2,2,1,2,18,13,41%,44%,59%,66%,20%,13%,0.80,0.83,16,26,13,19,64%,54%,59,52,34,24,9,7,0,0,0,0,1.38,0.17,-0.62,-0.83
24-08-2025,Monchengladbach,Hamburger SV,0,0,1.10,0.41,61%,39%,17,7,4,2,2,0,7,6,88%,81%,0.60,0.27,9,3,4,2,9,2,8,5,0,0,19,18,1,0,1,4,10,10,29%,38%,75%,65%,21%,13%,1.50,0.61,24,20,10,10,53%,46%,47,49,19,41,8,4,0,1,0,0,0.27,0.60,0.27,0.60
24-08-2025,Mainz,FC Koln,0,1,1.53,1.35,51%,49%,19,12,2,2,1,3,8,3,78%,81%,0.20,0.96,5,8,12,2,14,8,5,4,0,0,44,21,0,0,5,0,9,7,53%,40%,65%,66%,38%,36%,2.11,1.22,29,22,7,9,90%,90%,60,42,23,68,3,4,0,0,0,0,0.96,0.20,-0.04,0.20
23-08-2025,St. Pauli,Dortmund,3,3,1.28,1.56,51%,49%,11,8,7,7,2,4,5,2,82%,86%,2.26,2.72,3,1,1,0,8,7,3,1,0,0,27,19,1,2,4,3,12,13,42%,44%,71%,60%,21%,63%,1.06,1.80,23,17,13,12,50%,50%,45,44,13,45,7,8,1,1,0,0,2.72,2.26,-0.28,-0.74
23-08-2025,Frankfurt,Bremen,4,1,2.74,0.52,53%,47%,18,10,5,5,4,1,7,1,85%,81%,2.35,1.12,9,4,4,1,15,4,3,6,1,0,35,23,0,0,2,3,9,8,62%,53%,76%,67%,31%,50%,2.05,0.82,18,21,9,9,52%,50%,54,41,16,32,15,7,0,0,0,1,1.12,2.35,0.12,-1.65
23-08-2025,Freiburg,Augsburg,1,3,2.60,1.34,60%,40%,16,14,4,5,3,1,5,5,81%,72%,2.14,2.11,6,3,6,6,12,9,4,5,0,0,31,19,1,0,4,3,15,13,48%,34%,66%,62%,21%,24%,1.20,0.54,27,14,14,18,69%,60%,62,46,31,49,13,12,3,1,1,0,2.11,2.14,-0.89,1.14
23-08-2025,Heidenheim,Wolfsburg,1,3,0.71,2.45,49%,51%,7,15,2,5,1,4,2,5,83%,80%,0.45,2.77,4,9,1,1,2,6,5,9,0,0,11,20,0,0,2,0,12,12,35%,44%,65%,66%,20%,25%,0.33,1.75,18,20,12,12,50%,55%,41,47,22,19,7,11,3,1,0,0,2.77,0.45,-0.23,-0.55
23-08-2025,Leverkusen,Hoffenheim,1,2,0.71,0.45,60%,40%,7,10,2,5,1,0,6,4,87%,81%,1.49,0.86,3,4,2,1,4,6,3,4,0,1,14,23,0,0,1,1,16,9,49%,56%,72%,67%,12%,55%,0.64,0.51,22,18,9,17,86%,67%,47,35,14,26,9,10,0,0,0,0,0.86,1.49,-1.14,0.49
23-08-2025,Union Berlin,Stuttgart,2,1,0.35,1.72,25%,75%,8,21,2,6,0,4,5,11,63%,89%,0.25,2.13,5,9,1,6,6,14,2,7,1,2,14,34,0,0,2,1,12,20,46%,43%,58%,73%,31%,29%,0.52,3.04,12,17,21,13,56%,46%,54,57,45,28,7,3,0,1,0,0,2.13,0.25,1.13,-1.75
22-08-2025,Bayern,RB Leipzig,6,0,1.64,0.54,63%,37%,19,12,10,1,7,1,5,5,91%,82%,3.17,0.13,4,4,5,7,13,7,6,5,1,0,35,27,5,1,2,0,13,11,64%,46%,83%,67%,15%,14%,2.23,0.93,14,9,13,13,54%,67%,44,45,16,22,10,9,1,1,1,1,0.13,3.17,-0.87,-2.83
